Dish_ID,Dish_Name,Category,Cuisine,Serving_Size_g,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Ayurvedic_Rasa,Ayurvedic_Virya,Ayurvedic_Guna,Notes
1,Classic Moong Dal Khichdi,Healing Meals,Indian,300,350,15,60,5,8,"Sweet, Astringent","Neutral","Easy","Tridoshic, the ultimate food for detoxification and digestive reset."
2,Vegetable Masala Khichdi,Healing Meals,Indian,350,400,16,65,9,11,"Sweet, Astringent, Pungent","Hot","Easy","Nourishing and more flavorful. Spices kindle digestive fire (agni)."
3,Palak Khichdi (Spinach Kitchari),Healing Meals,Indian,350,380,17,62,8,12,"Sweet, Astringent, Bitter","Cold","Easy","Iron-rich and purifying. Excellent for Pitta dosha."
4,Millet Khichdi (Foxtail/Kodo),Healing Meals,Indian,300,390,12,70,8,10,"Sweet, Astringent","Hot","Moderate","Lighter and less Kapha-aggravating than rice-based khichdi."
5,Kanji (Simple Rice Gruel),Healing Meals,Indian,300,150,3,32,1,1,"Sweet","Cold","Easy","Extremely light and hydrating. Prescribed during fever and weak digestion."
6,Simple Moong Dal (No Tadka),Lentils (Dal),Indian,250,220,14,35,3,9,"Sweet, Astringent","Cold","Easy","Boiled moong dal is very light and pacifies Pitta. Ideal for sensitive guts."
7,Moong Dal Tadka with Ghee & Cumin,Lentils (Dal),Indian,250,280,14,36,9,9,"Sweet, Astringent, Pungent","Neutral","Easy","Ghee and cumin make it Vata-pacifying and aid digestion."
8,Masoor Dal Soup (Red Lentil),Lentils (Dal),Indian,250,250,15,38,4,10,"Sweet, Astringent","Hot","Easy","Warming and light. Excellent for Kapha and Vata constitutions."
9,Toor Dal with Ginger & Turmeric,Lentils (Dal),Indian,250,300,14,40,9,11,"Sweet, Astringent, Pungent","Hot","Moderate","Slightly heavier than moong, but ginger and turmeric make it digestible."
10,Dal Palak (Lentils with Spinach),Lentils (Dal),Indian,280,320,18,42,9,13,"Sweet, Astringent, Bitter","Cold","Easy","Highly nutritious and cooling. Great for Pitta."
11,Tomato Rasam (Digestive Soup),Soups,Indian,250,90,3,15,2,3,"Sour, Pungent, Sweet","Hot","Easy","Potent appetizer and digestive. Clears channels and relieves congestion."
12,Pumpkin Soup with Ginger,Soups,Indian,250,180,4,25,7,5,"Sweet, Pungent","Hot","Easy","Warming, grounding, and easy to digest. Good for all doshas."
13,Lauki Sabzi (Bottle Gourd Curry),Vegetables (Sabzi),Indian,250,150,2,18,8,4,"Sweet","Cold","Easy","Extremely cooling, hydrating, and calming for Pitta."
14,Turai Sabzi (Ridge Gourd Curry),Vegetables (Sabzi),Indian,250,160,3,16,9,5,"Sweet","Cold","Easy","Light and purifies the blood. Good for Pitta and liver health."
15,Parval Sabzi (Pointed Gourd Stir-fry),Vegetables (Sabzi),Indian,200,170,4,14,11,6,"Sweet, Bitter","Neutral","Easy","Tridoshic vegetable, excellent for digestive health and fever."
16,Simple Beetroot Sabzi (no coconut),Vegetables (Sabzi),Indian,200,150,4,20,6,5,"Sweet","Hot","Easy","Builds blood (Rakta dhatu) and pacifies Vata."
17,Steamed Carrot & Beans Sabzi,Vegetables (Sabzi),Indian,200,130,5,18,4,7,"Sweet, Astringent","Neutral","Easy","Lightly cooked vegetables retain Prana. Tridoshic and gentle."
18,Methi Sabzi (Fenuguava Leaves),Vegetables (Sabzi),Indian,150,140,5,8,10,5,"Bitter, Pungent","Hot","Easy","Bitter taste purifies blood and is excellent for Kapha and diabetics."
19,Cabbage & Pea Sabzi,Vegetables (Sabzi),Indian,200,160,6,18,7,6,"Sweet, Astringent","Cold","Moderate","Good for Pitta/Kapha. Cook with ginger/hing to avoid Vata aggravation (gas)."
20,Simple Aloo Matar (Potato & Peas),Vegetables (Sabzi),Indian,250,250,7,35,9,7,"Sweet","Hot","Moderate","Comforting and grounding for Vata. Avoid in excess for Kapha."
21,Whole Wheat Roti (Phulka),Breads,Indian,50,140,4.5,28,1,4,"Sweet","Hot","Moderate","Fresh, soft rotis are grounding for Vata. Best eaten fresh."
22,Jowar Roti (Sorghum Flatbread),Breads,Indian,60,140,4,30,1,3,"Sweet, Astringent","Cold","Moderate","Gluten-free, cooling, and drying. Excellent for Pitta and Kapha."
23,Bajra Roti (Pearl Millet Flatbread),Breads,Indian,60,180,6,34,3,4,"Pungent, Sweet","Hot","Difficult","Very heating and drying. Best for Kapha in peak winter."
24,Ragi Roti (Finger Millet Flatbread),Breads,Indian,60,150,4,32,1.5,4,"Astringent, Sweet","Hot","Moderate","Rich in calcium and iron. Good for Kapha."
25,Steamed Brown Rice,Grains,Indian,150,185,4,38,1.5,2.8,"Sweet","Hot","Moderate","More fiber and nutrients than white rice, but heavier to digest."
26,Steamed Basmati Rice,Grains,Indian,150,205,4.3,44.5,0.4,0.6,"Sweet","Cold","Easy","Aromatic and Sattvic. Easiest grain to digest for most people."
27,Vegetable Pulao (Mild Spices),Grains,Indian,250,380,8,65,9,7,"Sweet, Salty","Neutral","Moderate","A balanced one-pot meal. Tridoshic if spiced mildly."
28,Plain Oats Porridge (Savory),Breakfast,Indian,250,220,8,35,5,6,"Sweet","Hot","Moderate","Warm, grounding breakfast for Vata and Pitta. Can be heavy for Kapha."
29,Rava Idli (Steamed Semolina Cake),Breakfast,Indian,150,240,8,45,3,3,"Sweet, Sour","Hot","Moderate","Lighter than lentil idlis. Fermentation can increase Pitta."
30,Pesarattu (Moong Dal Dosa),Breakfast,Indian,150,280,15,40,6,8,"Astringent, Sweet","Cold","Moderate","High-protein, cooling breakfast. Excellent for Kapha and Pitta."
31,Vegetable Upma,Breakfast,Indian,200,340,9,50,12,6,"Sweet, Salty","Hot","Moderate","Nourishing and filling. Good for Vata."
32,Spiced Buttermilk (Chaas/Takra),Beverages,Indian,250,50,2.5,6,2,0,"Astringent, Sour, Salty","Cold","Easy","The best probiotic and digestive aid in Ayurveda. Tridoshic."
33,Turmeric Milk with Ginger & Pepper,Beverages,Indian,200,120,8,12,5,0,"Sweet, Pungent, Bitter","Hot","Easy","Anti-inflammatory, immunity-boosting, and calming. Pacifies Vata and Kapha."
34,CCF Tea (Cumin-Coriander-Fennel),Beverages,Indian,250,5,0,1,0,0,"Pungent, Sweet, Bitter","Neutral","Easy","Tridoshic digestive tea. Kindles agni, cools Pitta, and reduces bloating."
35,Ginger-Lemon-Honey Tea,Beverages,Indian,250,40,0.2,10,0,0,"Pungent, Sour, Sweet","Hot","Easy","Excellent for colds, coughs, and sluggish digestion. Best for Vata and Kapha."
36,Barley Water (Jau ka Paani),Beverages,Indian,250,80,1,18,0.2,3,"Sweet, Astringent","Cold","Easy","Diuretic and cooling. Reduces water retention and pacifies Pitta and Kapha."
37,Karela Juice (Bitter Gourd),Juices,Indian,100,20,1,4,0.1,2.5,"Bitter","Cold","Easy","Extremely purifying for blood, good for skin and diabetes. Vata-aggravating."
38,Amla Juice (Indian Gooseberry),Juices,Indian,100,50,1,12,0.1,3,"Sour, Sweet, Bitter, Astringent, Pungent","Cold","Easy","Tridoshic rejuvenating tonic, rich in Vitamin C."
39,Cucumber Raita,Condiments,Indian,120,80,4,6,4,1,"Sweet, Sour","Cold","Moderate","Cooling and pacifies Pitta. Can increase Kapha if cold."
40,Mint Chutney,Condiments,Indian,30,30,1,5,0.5,1,"Pungent, Astringent","Cold","Easy","Aids digestion and is very cooling for Pitta."
41,Koshimbir (Maharashtrian Salad),Salads,Indian,150,110,5,10,5,3,"Sour, Sweet, Salty","Cold","Moderate","Simple salad with yogurt/lemon. Raw food can be Vata-aggravating."
42,Cooked Beetroot Salad,Salads,Indian,150,90,3,15,2,4,"Sweet","Hot","Easy","Cooked salads are easier to digest. Grounding for Vata."
43,Roasted Makhana (Fox Nuts),Snacks,Indian,30,110,4,22,1,4,"Sweet, Astringent","Cold","Easy","Light, crunchy, and nutritious. Tridoshic, especially good for Vata."
44,Steamed Sprouts Chaat,Snacks,Indian,150,180,12,30,2,8,"Astringent, Sweet, Sour","Neutral","Moderate","Steaming makes sprouts easier to digest than raw. Good for Kapha."
45,Sweet Potato Chaat (Steamed),Snacks,Indian,200,200,4,45,1,6,"Sweet, Sour","Hot","Easy","Nourishing, warming, and easy to digest. Excellent for Vata."
46,Dhokla (Steamed Chickpea Cake),Snacks,Indian,150,250,12,40,5,5,"Sweet, Sour","Hot","Moderate","Steamed and light, but fermented nature can increase Pitta."
47,Sooji Halwa / Sheera (small portion),Desserts,Indian,80,220,3.5,30,9,1,"Sweet","Hot","Difficult","A comforting sweet. Should be eaten warm and in moderation. Increases Kapha."
48,Date and Nut Ladoo (No Sugar),Desserts,Indian,30,120,3,15,6,2,"Sweet","Hot","Moderate","Energy-boosting sweet, grounding for Vata. Healthy in moderation."
49,Fruit Compote (Cooked Apple/Pear),Desserts,Indian,150,110,0.5,28,0.2,4,"Sweet, Sour","Hot","Easy","Cooked fruit is much easier to digest than raw. Pacifies Vata."
50,Besan Chilla (Gram Flour Pancake),Breakfast,Indian,150,280,14,30,12,8,"Astringent, Sweet","Hot","Moderate","Protein-rich but can be drying. Good for Kapha."
51,Panchmel Dal (Five Lentil Stew),Lentils (Dal),Indian,250,350,20,45,10,15,"Sweet, Astringent","Hot","Difficult","Highly nutritious but heavy. Best for Vata, Kapha and Pitta in moderation."
52,Kulthi Dal (Horse Gram Soup),Medicinal Meals,Indian,250,300,18,48,4,12,"Astringent, Pungent","Hot","Difficult","Medicinal for dissolving stones and reducing Kapha. Very heating."
53,Sprouted Moong Sabzi,Vegetables (Sabzi),Indian,200,220,15,30,5,10,"Sweet, Astringent","Cold","Easy","Sattvic and full of Prana. Steaming makes sprouts easy to digest."
54,Lauki Chana Dal,Main Course,Indian,250,280,14,35,9,11,"Sweet, Astringent","Cold","Moderate","Lauki's lightness balances the heaviness of chana dal."
55,Beetroot Thoran (with Coconut),Vegetables (Sabzi),Indian,150,180,4,18,11,6,"Sweet","Neutral","Moderate","Beetroot is heating, coconut is cooling, creating a balanced, Pitta-pacifying dish."
56,Cabbage Thoran,Vegetables (Sabzi),Indian,150,160,5,12,10,7,"Astringent, Sweet","Cold","Easy","Very light and scrapes fat. Excellent for Kapha. Vata should have with ghee."
